nb_init_infected,density_ref_contact,init_all_ages_successful_contact_rate_human,init_all_ages_factor_contact_rate_asymptomatic,init_all_ages_proportion_asymptomatic,init_all_ages_proportion_hospitalisation,init_all_ages_proportion_icu,init_all_ages_proportion_dead_symptomatic,nb_dead,nb_recovered,nb_susceptibles,nb_infectious,nb_infected,step_max_peak,step_end_epidemiology
36719,155.46875,0.14134375,0.29728125,0.70271875,0.23490625,0.73390625,0.85865625,301526,712485,0,0,0,229,1272
36719,155.46875,0.14134375,0.70271875,0.39084375,0.23490625,0.73390625,0.85865625,617835,396176,0,0,0,183,1416
36719,155.46875,0.14134375,0.70271875,0.70271875,0.67153125,0.73390625,0.85865625,301337,712674,0,0,0,182,1320
36719,155.46875,0.14134375,0.70271875,0.70271875,0.23490625,0.04778125,0.85865625,301293,712718,0,0,0,188,1368
36719,155.46875,0.14134375,0.70271875,0.70271875,0.23490625,0.73390625,0.92103125,301365,712646,0,0,0,202,1488
36719,155.46875,0.14134375,0.70271875,0.70271875,0.23490625,0.73390625,0.85865625,301598,712413,0,0,0,200,1200
21094,78.90625,0.07896875,0.42203125,0.26609375,0.79628125,0.67153125,0.29728125,331894,682117,0,0,0,327,1464
5470,78.90625,0.07896875,0.42203125,0.26609375,0.79628125,0.67153125,0.29728125,331855,682156,0,0,0,350,1416
21094,339.21875,0.07896875,0.42203125,0.26609375,0.79628125,0.67153125,0.29728125,331941,682070,0,0,0,204,1176
21094,78.90625,0.51559375,0.42203125,0.26609375,0.79628125,0.67153125,0.29728125,331753,682258,0,0,0,183,1272
21094,78.90625,0.07896875,0.57796875,0.26609375,0.79628125,0.67153125,0.29728125,331931,682080,0,0,0,279,1392
21094,78.90625,0.07896875,0.42203125,0.07896875,0.79628125,0.67153125,0.29728125,416424,597587,0,0,0,303,1464
21094,78.90625,0.07896875,0.42203125,0.26609375,0.35965625,0.67153125,0.29728125,331851,682160,0,0,0,281,1272
21094,78.90625,0.07896875,0.42203125,0.26609375,0.79628125,0.60915625,0.29728125,331961,682050,0,0,0,304,1368
21094,78.90625,0.07896875,0.42203125,0.26609375,0.79628125,0.67153125,0.98340625,744052,269959,0,0,0,305,1320
21094,339.21875,0.51559375,0.57796875,0.07896875,0.35965625,0.60915625,0.98340625,933972,80039,0,0,0,133,1176
5470,78.90625,0.51559375,0.57796875,0.07896875,0.35965625,0.60915625,0.98340625,933862,80149,0,0,0,202,1320
5470,339.21875,0.07896875,0.57796875,0.07896875,0.35965625,0.60915625,0.98340625,933877,80134,0,0,0,224,1224
5470,339.21875,0.51559375,0.42203125,0.07896875,0.35965625,0.60915625,0.98340625,933853,80158,0,0,0,158,1416
5470,339.21875,0.51559375,0.57796875,0.26609375,0.35965625,0.60915625,0.98340625,744253,269758,0,0,0,154,1152
5470,339.21875,0.51559375,0.57796875,0.07896875,0.79628125,0.60915625,0.98340625,934045,79966,0,0,0,153,1224
5470,339.21875,0.51559375,0.57796875,0.07896875,0.35965625,0.67153125,0.98340625,933949,80062,0,0,0,151,1272
5470,339.21875,0.51559375,0.57796875,0.07896875,0.35965625,0.60915625,0.29728125,416445,597566,0,0,0,155,1344
5470,339.21875,0.51559375,0.57796875,0.07896875,0.35965625,0.60915625,0.98340625,933975,80036,0,0,0,153,1128
46094,323.90625,0.57796875,0.92103125,0.76509375,0.29728125,0.17253125,0.79628125,238125,775886,0,0,0,114,1176
30469,323.90625,0.57796875,0.92103125,0.76509375,0.29728125,0.17253125,0.79628125,238111,775900,0,0,0,128,1152
46094,94.21875,0.57796875,0.92103125,0.76509375,0.29728125,0.17253125,0.79628125,238126,775885,0,0,0,136,1200
46094,323.90625,0.01659375,0.92103125,0.76509375,0.29728125,0.17253125,0.79628125,238562,775449,0,0,0,258,1224
46094,323.90625,0.57796875,0.07896875,0.76509375,0.29728125,0.17253125,0.79628125,238073,775938,0,0,0,181,1272
46094,323.90625,0.57796875,0.92103125,0.57796875,0.29728125,0.17253125,0.79628125,428129,585882,0,0,0,111,1200
