,nb_init_infected,density_ref_contact,init_all_ages_successful_contact_rate_human,init_all_ages_factor_contact_rate_asymptomatic,init_all_ages_proportion_asymptomatic,init_all_ages_proportion_hospitalisation,init_all_ages_proportion_icu,init_all_ages_proportion_dead_symptomatic,nb_dead,nb_recovered,nb_susceptibles,nb_infectious,nb_infected,step_max_peak,step_end_epidemiology,cluster
394,44531,17.65625,0.11015625,0.48440625,0.23490625,0.45321875,0.26609375,0.07896875,91803,922208,0,0,0,377,1296,4
395,44531,17.65625,0.11015625,0.48440625,0.23490625,0.45321875,0.26609375,0.45321875,527356,486655,0,0,0,376,1296,4
396,35157,63.59375,0.17253125,0.51559375,0.79628125,0.95221875,0.39084375,0.32846875,101677,912334,0,0,0,251,1272,2
397,32032,63.59375,0.17253125,0.51559375,0.79628125,0.95221875,0.39084375,0.32846875,101764,912247,0,0,0,258,1488,1
398,35157,140.15625,0.17253125,0.51559375,0.79628125,0.95221875,0.39084375,0.32846875,101696,912315,0,0,0,203,1200,5
399,35157,63.59375,0.35965625,0.51559375,0.79628125,0.95221875,0.39084375,0.32846875,101696,912315,0,0,0,205,1704,1
400,35157,63.59375,0.17253125,0.23490625,0.79628125,0.95221875,0.39084375,0.32846875,101758,912253,0,0,0,291,1320,2
401,35157,63.59375,0.17253125,0.51559375,0.98340625,0.95221875,0.39084375,0.32846875,8333,1005678,0,0,0,249,1272,2
402,35157,63.59375,0.17253125,0.51559375,0.79628125,0.70271875,0.39084375,0.32846875,101810,912201,0,0,0,236,1392,2
403,35157,63.59375,0.17253125,0.51559375,0.79628125,0.95221875,0.01659375,0.32846875,101860,912151,0,0,0,251,1224,2
404,35157,63.59375,0.17253125,0.51559375,0.79628125,0.95221875,0.39084375,0.70271875,206606,807405,0,0,0,248,1224,2
405,35157,140.15625,0.35965625,0.23490625,0.98340625,0.70271875,0.01659375,0.70271875,16753,997258,0,0,0,204,1320,2
406,32032,63.59375,0.35965625,0.23490625,0.98340625,0.70271875,0.01659375,0.70271875,16838,997173,0,0,0,274,1248,2
407,32032,140.15625,0.17253125,0.23490625,0.98340625,0.70271875,0.01659375,0.70271875,16902,997109,0,0,0,250,1176,2
408,32032,140.15625,0.35965625,0.51559375,0.98340625,0.70271875,0.01659375,0.70271875,16923,997088,0,0,0,178,1440,1
409,32032,140.15625,0.35965625,0.23490625,0.79628125,0.70271875,0.01659375,0.70271875,206562,807449,0,0,0,205,1272,2
410,32032,140.15625,0.35965625,0.23490625,0.98340625,0.95221875,0.01659375,0.70271875,16868,997143,0,0,0,202,1200,5
411,32032,140.15625,0.35965625,0.23490625,0.98340625,0.70271875,0.39084375,0.70271875,16760,997251,0,0,0,206,1272,2
412,32032,140.15625,0.35965625,0.23490625,0.98340625,0.70271875,0.01659375,0.32846875,8320,1005691,0,0,0,228,1392,2
413,32032,140.15625,0.35965625,0.23490625,0.98340625,0.70271875,0.01659375,0.70271875,16925,997086,0,0,0,203,1128,5
414,10157,308.59375,0.67153125,0.01659375,0.29728125,0.45321875,0.88984375,0.82746875,712547,301464,0,0,0,203,1248,3
415,7032,308.59375,0.67153125,0.01659375,0.29728125,0.45321875,0.88984375,0.82746875,712563,301448,0,0,0,218,1224,3
416,10157,385.15625,0.67153125,0.01659375,0.29728125,0.45321875,0.88984375,0.82746875,712443,301568,0,0,0,200,1224,3
417,10157,308.59375,0.85865625,0.01659375,0.29728125,0.45321875,0.88984375,0.82746875,712573,301438,0,0,0,201,1320,0
418,10157,308.59375,0.67153125,0.73390625,0.29728125,0.45321875,0.88984375,0.82746875,712597,301414,0,0,0,133,1248,3
419,10157,308.59375,0.67153125,0.01659375,0.48440625,0.45321875,0.88984375,0.82746875,522779,491232,0,0,0,226,1392,0
420,10157,308.59375,0.67153125,0.01659375,0.29728125,0.20371875,0.88984375,0.82746875,712660,301351,0,0,0,205,1296,0
421,10157,308.59375,0.67153125,0.01659375,0.29728125,0.45321875,0.51559375,0.82746875,712706,301305,0,0,0,206,1344,0
422,10157,308.59375,0.67153125,0.01659375,0.29728125,0.45321875,0.88984375,0.20371875,217756,796255,0,0,0,232,1488,1
423,10157,385.15625,0.85865625,0.73390625,0.48440625,0.20371875,0.51559375,0.20371875,159735,854276,0,0,0,128,1224,5
424,7032,308.59375,0.85865625,0.73390625,0.48440625,0.20371875,0.51559375,0.20371875,159833,854178,0,0,0,134,1296,6
425,7032,385.15625,0.67153125,0.73390625,0.48440625,0.20371875,0.51559375,0.20371875,159762,854249,0,0,0,135,1152,5
426,7032,385.15625,0.85865625,0.01659375,0.48440625,0.20371875,0.51559375,0.20371875,159792,854219,0,0,0,203,1440,1
427,7032,385.15625,0.85865625,0.73390625,0.29728125,0.20371875,0.51559375,0.20371875,217749,796262,0,0,0,117,1200,5
428,7032,385.15625,0.85865625,0.73390625,0.48440625,0.45321875,0.51559375,0.20371875,159742,854269,0,0,0,130,1272,6
429,7032,385.15625,0.85865625,0.73390625,0.48440625,0.20371875,0.88984375,0.20371875,159781,854230,0,0,0,112,1104,5
430,7032,385.15625,0.85865625,0.73390625,0.48440625,0.20371875,0.51559375,0.82746875,522718,491293,0,0,0,129,1176,3
431,7032,385.15625,0.85865625,0.73390625,0.48440625,0.20371875,0.51559375,0.20371875,159786,854225,0,0,0,118,1200,5
432,7032,216.71875,0.23490625,0.32846875,0.98340625,0.26609375,0.20371875,0.51559375,12985,1001026,0,0,0,209,1224,2
433,22657,216.71875,0.23490625,0.32846875,0.98340625,0.26609375,0.20371875,0.51559375,12995,1001016,0,0,0,201,1320,2
434,7032,232.03125,0.23490625,0.32846875,0.98340625,0.26609375,0.20371875,0.51559375,13016,1000995,0,0,0,228,1320,2
435,7032,216.71875,0.79628125,0.32846875,0.98340625,0.26609375,0.20371875,0.51559375,12971,1001040,0,0,0,176,1224,5
436,7032,216.71875,0.23490625,0.54678125,0.98340625,0.26609375,0.20371875,0.51559375,12995,1001016,0,0,0,204,1272,2
437,7032,216.71875,0.23490625,0.32846875,0.17253125,0.26609375,0.20371875,0.51559375,648793,365218,0,0,0,226,1200,3
438,7032,216.71875,0.23490625,0.32846875,0.98340625,0.64034375,0.20371875,0.51559375,13086,1000925,0,0,0,226,1296,2
439,7032,216.71875,0.23490625,0.32846875,0.98340625,0.26609375,0.45321875,0.51559375,12978,1001033,0,0,0,209,1176,5
440,7032,216.71875,0.23490625,0.32846875,0.98340625,0.26609375,0.20371875,0.88984375,16900,997111,0,0,0,225,1296,2
441,7032,232.03125,0.79628125,0.54678125,0.17253125,0.64034375,0.45321875,0.88984375,839168,174843,0,0,0,136,1272,3
442,22657,216.71875,0.79628125,0.54678125,0.17253125,0.64034375,0.45321875,0.88984375,839171,174840,0,0,0,135,1272,3
443,22657,232.03125,0.23490625,0.54678125,0.17253125,0.64034375,0.45321875,0.88984375,839036,174975,0,0,0,177,1248,3
444,22657,232.03125,0.79628125,0.32846875,0.17253125,0.64034375,0.45321875,0.88984375,839234,174777,0,0,0,138,1368,0
445,22657,232.03125,0.79628125,0.54678125,0.98340625,0.64034375,0.45321875,0.88984375,16837,997174,0,0,0,135,1104,5
446,22657,232.03125,0.79628125,0.54678125,0.17253125,0.26609375,0.45321875,0.88984375,839007,175004,0,0,0,146,1224,3
447,22657,232.03125,0.79628125,0.54678125,0.17253125,0.64034375,0.20371875,0.88984375,839061,174950,0,0,0,132,1224,3
448,22657,232.03125,0.79628125,0.54678125,0.17253125,0.64034375,0.45321875,0.51559375,648902,365109,0,0,0,134,1200,3
449,22657,232.03125,0.79628125,0.54678125,0.17253125,0.64034375,0.45321875,0.88984375,839031,174980,0,0,0,132,1368,0
450,32032,461.71875,0.73390625,0.82746875,0.48440625,0.76509375,0.70271875,0.01659375,13024,1000987,0,0,0,110,1152,5
451,47656,461.71875,0.73390625,0.82746875,0.48440625,0.76509375,0.70271875,0.01659375,13021,1000990,0,0,0,94,1272,6
452,32032,477.03125,0.73390625,0.82746875,0.48440625,0.76509375,0.70271875,0.01659375,13049,1000962,0,0,0,112,1128,5
453,32032,461.71875,0.29728125,0.82746875,0.48440625,0.76509375,0.70271875,0.01659375,13003,1001008,0,0,0,131,1224,5
454,32032,461.71875,0.73390625,0.04778125,0.48440625,0.76509375,0.70271875,0.01659375,13008,1001003,0,0,0,177,1176,5
455,32032,461.71875,0.73390625,0.82746875,0.67153125,0.76509375,0.70271875,0.01659375,8271,1005740,0,0,0,108,1248,5
456,32032,461.71875,0.73390625,0.82746875,0.48440625,0.14134375,0.70271875,0.01659375,12985,1001026,0,0,0,111,1200,5
457,32032,461.71875,0.73390625,0.82746875,0.48440625,0.76509375,0.95221875,0.01659375,12992,1001019,0,0,0,109,1200,5
458,32032,461.71875,0.73390625,0.82746875,0.48440625,0.76509375,0.70271875,0.39084375,306513,707498,0,0,0,107,1464,1
459,32032,477.03125,0.29728125,0.04778125,0.67153125,0.14134375,0.95221875,0.39084375,195203,818808,0,0,0,206,1224,2
460,47656,461.71875,0.29728125,0.04778125,0.67153125,0.14134375,0.95221875,0.39084375,195244,818767,0,0,0,202,1176,5
461,47656,477.03125,0.73390625,0.04778125,0.67153125,0.14134375,0.95221875,0.39084375,195145,818866,0,0,0,161,1368,6
462,47656,477.03125,0.29728125,0.82746875,0.67153125,0.14134375,0.95221875,0.39084375,195121,818890,0,0,0,128,1224,5
463,47656,477.03125,0.29728125,0.04778125,0.48440625,0.14134375,0.95221875,0.39084375,306625,707386,0,0,0,178,1224,5
464,47656,477.03125,0.29728125,0.04778125,0.67153125,0.76509375,0.95221875,0.39084375,195434,818577,0,0,0,202,1368,2
465,47656,477.03125,0.29728125,0.04778125,0.67153125,0.14134375,0.70271875,0.39084375,195224,818787,0,0,0,184,1344,6
466,47656,477.03125,0.29728125,0.04778125,0.67153125,0.14134375,0.95221875,0.01659375,8313,1005698,0,0,0,201,1224,5
467,47656,477.03125,0.29728125,0.04778125,0.67153125,0.14134375,0.95221875,0.39084375,195253,818758,0,0,0,203,1200,5
468,44531,94.21875,0.48440625,0.07896875,0.23490625,0.51559375,0.45321875,0.26609375,309640,704371,0,0,0,208,1320,2
469,35157,94.21875,0.48440625,0.07896875,0.23490625,0.51559375,0.45321875,0.26609375,309616,704395,0,0,0,210,1248,2
470,44531,354.53125,0.48440625,0.07896875,0.23490625,0.51559375,0.45321875,0.26609375,309647,704364,0,0,0,175,1248,6
471,44531,94.21875,0.04778125,0.07896875,0.23490625,0.51559375,0.45321875,0.26609375,309652,704359,0,0,0,392,1368,4
472,44531,94.21875,0.48440625,0.29728125,0.23490625,0.51559375,0.45321875,0.26609375,309607,704404,0,0,0,182,1224,5
473,44531,94.21875,0.48440625,0.07896875,0.42203125,0.51559375,0.45321875,0.26609375,234014,779997,0,0,0,227,1464,1
474,44531,94.21875,0.48440625,0.07896875,0.23490625,0.88984375,0.45321875,0.26609375,309750,704261,0,0,0,209,1344,2
475,44531,94.21875,0.48440625,0.07896875,0.23490625,0.51559375,0.70271875,0.26609375,309692,704319,0,0,0,220,1248,2
476,44531,94.21875,0.48440625,0.07896875,0.23490625,0.51559375,0.45321875,0.64034375,745422,268589,0,0,0,228,1392,0
477,44531,354.53125,0.04778125,0.29728125,0.42203125,0.88984375,0.70271875,0.64034375,562725,451286,0,0,0,232,1248,0
478,35157,94.21875,0.04778125,0.29728125,0.42203125,0.88984375,0.70271875,0.64034375,562959,451052,0,0,0,348,1536,4
479,35157,354.53125,0.48440625,0.29728125,0.42203125,0.88984375,0.70271875,0.64034375,562845,451166,0,0,0,136,1272,3
480,35157,354.53125,0.04778125,0.07896875,0.42203125,0.88984375,0.70271875,0.64034375,562904,451107,0,0,0,281,1464,0
